Counter,Date,User,Comment
1,"April 11, 2007 6:52PM","
motownusa ","
Hi Pat:You forgot the Chrysler Sebring  "
2,"April 11, 2007 7:33PM","
exshoman ","
I'm sure some folks would appreciate having the Malibu included as well. "
3,"April 12, 2007 6:51AM","
targettuning ","
You can try to revive this topic but without being able to discuss (however heated the discussion gets..or not) manufacturer verses manufacturer or model verses model (as in making comparisons) or issues with a specific manufacturer there is little to talk about. I do agree about issues with other members/posters however in spite of being guilty of doing just that. "
4,"April 12, 2007 8:43AM","
pat ","
Model vs. model is exactly what we're here for! Manufacturer vs. manufacturer belongs elsewhere as I've noted a number of times. There were many times we were turning the previous discussion into conversations that were/are already occurring in Auto News and they were happening to the exclusion of the vehicles themselves. That's what we need to avoid this time around. "
5,"April 13, 2007 11:49AM","
perna ","
The Altima is my favorite of the bunch. It is amongst the fastest and best handling of the group, is priced well, and has all the gadgets. The 2007 model is the best looker of the bunch, IMO. My second choice is the Ford Fusion. The things I don't like about it is the lack of punch, and it is gadget-free compared to the Altima. It is still fun to drive and is very nice looking inside and out, though. I hate the Camry's interior, and the Accord's seats. The Camry also feels a lot slower than its HP rating suggests, and the Nissan's motor wails on the Accord's whiny V6. Both Camry and Accord are kind of expensive for what you get. The Aura looks neat, but I've never driven one so I can't comment. The Mazda needs to be replaced. Not a bad car, but generationally it feels like a 2002 car and not 2007. I'll take the host's advice and spare any comments on the Hyundai and Kia.  "
6,"April 13, 2007 12:05PM","
mike91326 ","
What do you think of the CVT in the Altima? I've heard some people say that it feels slow off the line even though it's not. "
7,"April 13, 2007 12:18PM","
plekto ","
Buick LaCrossePassat(Audi A6 in non-lux trim)Volvo S40(not really a luxury car, either, and not sporty like the S60)Jeep Compass(hard to tell if it's a car or a SUV wanna-be)Plus a few others, like the RX-8 and such that are technically sedans(a few two door sedans and hatchbacks would also qualify, IMO, if it's the only way they come)P.S. the CVT in the Altima has to be driven like a motorcycle. You need to floor the pedal until you reach the speed you want and ease off. Very binary behavior - and the opposite of a normal transmission. If you ease into it progressively harder, like you are used to, it accelerates like your grandmother. "
8,"April 13, 2007 12:24PM","
perna ","
I have actually driven the CVT, and honestly it felt faster ""seat of my pants"" than any other car in this list did (of the ones I've driven). I didn't even notice the lack of shifting, I was having so much fun driving it. My daily driver is an '03 Maxima, and the '07 Altima does feel faster than the Max, though not by a ridiculous amount. It's pretty clear to me that the new Altima is the true successor to my car, and not the ""redesigned"" '04 and up Maximas. "
9,"April 13, 2007 12:27PM","
lilengineerboy ","
I wouldn't consider the RX-8, G35 coupe, or Saturn ION coupe to be midsized, no matter how many doors they have. I don't think the S40 is midsized either, being the same size as a Mazda3 or Focus.I think since ""sedans"" is in the title, the Compass (which is too small to be midsized anyway), wagons shouldn't count, gloried as a wanna-be SUV or not. "
10,"April 13, 2007 12:32PM","
lilengineerboy ","
My daily driver is an '03 Maxima, and the '07 Altima does feel faster than the Max, though not by a ridiculous amount. It's pretty clear to me that the new Altima is the true successor to my car, and not the ""redesigned"" '04 and up Maximas.Its interesting how that happens. There is no real successor to the Contour, and I think the Mazda6 (V6/MTX) is the closest thing available from Ford.I personally found the Altima to be great looking but a bit pricey. "
